City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,novoishimskiy,53.1981,66.7694,1.37,60,0,2.26,KZ,1681934238
331,basco,20.4487,121.9702,26.68,85,98,5.84,PH,1681934238
332,tinghir,31.5157,-5.5343,15.68,66,49,4.07,MA,1681934239
333,fujin,47.26,132.0322,8.72,51,100,6.34,CN,1681934239
334,ulsteinvik,62.3432,5.8487,10.5,79,16,0.89,NO,1681934196
335,kendari,-3.945,122.4989,23.48,97,100,1.05,ID,1681934240
336,port shepstone,-30.7414,30.455,20.64,28,0,2.66,ZA,1681934241
337,amherst,41.3978,-82.2224,18.1,56,0,2.68,US,1681934138
338,polyarnyy,69.1989,33.4478,2.76,94,100,7.4,RU,1681934242
339,remire-montjoly,4.9167,-52.2667,25.02,94,20,2.06,GF,1681934243
340,kharp,66.8014,65.8081,-6.53,95,100,3.27,RU,1681934243
341,swift current,50.2834,-107.8014,-1.55,93,100,9.77,CA,1681934214
342,bardai,11.65,7.2333,32.77,27,100,4.73,NG,1681934244
343,revda,56.801,59.9303,1.31,66,92,1.64,RU,1681934245
344,taco pozo,-25.6167,-63.2833,28.09,39,0,3.14,AR,1681934246
345,loango,-4.6719,11.8312,28.81,84,40,4.12,CG,1681934247
346,nadi,-17.8,177.4167,23.0,94,20,1.54,FJ,1681934079
347,huilong,31.8111,121.655,14.34,97,100,2.92,CN,1681934248
348,utrik,11.2278,169.8474,26.52,79,100,8.96,MH,1681934248
349,guilin,25.2819,110.2864,19.06,91,0,1.29,CN,1681934248
350,puerto santa,-8.9906,-78.6456,23.91,83,100,4.35,PE,1681934249
351,zakynthos,37.7914,20.8953,11.68,77,0,4.25,GR,1681934249
352,mont-dore,-22.2833,166.5833,25.56,99,5,1.71,NC,1681934250
353,umm kaddadah,13.6017,26.6876,29.03,9,0,6.5,SD,1681934250
354,mukalla,14.5425,49.1242,26.93,77,0,0.99,YE,1681934251
355,pyshma,56.9523,63.2513,0.59,56,1,2.63,RU,1681934251
356,kenai,60.5544,-151.2583,3.05,60,0,3.09,US,1681934252
357,kassala,15.451,36.4,31.32,7,0,4.49,SD,1681934253
358,isabel segunda,18.1491,-65.4427,29.21,70,0,6.51,PR,1681934253
359,mtsamboro,-12.6998,45.0689,26.62,78,18,3.16,YT,1681934254
360,koryazhma,61.3143,47.1691,-1.91,96,61,0.57,RU,1681934254
